Thread ID: 2151950420
Fiber ID: 2156166000
Total: 0.244291
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.000     0.000     0.000     0.000       30   Nokogiri::XML::Document#document 
  0.04      0.000     0.000     0.000     0.000       54   Nokogiri::XML::Node#document 
  0.04      0.000     0.000     0.000     0.000       41   Fixnum#divmod 
  0.04      0.000     0.000     0.000     0.000       14   HTTP::Message#reason= 
  0.04      0.000     0.000     0.000     0.000       10   Nokogiri::XML::NodeSet#+ 
  0.04      0.001     0.000     0.000     0.000       14   Queue#push 
  0.04      0.000     0.000     0.000     0.000       14   HTTPClient::Session#closed? 
  0.04      0.000     0.000     0.000     0.000       14   HTTP::Message#content 
  0.04      0.001     0.000     0.000     0.001       14   HTTPClient::SessionManager#keep 
  0.04      0.000     0.000     0.000     0.000       14   WebAgent::CookieManager#find 
  0.04      0.000     0.000     0.000     0.000       14   <Class::Encoding>#find 
  0.03      0.001     0.000     0.000     0.001       14   HTTPClient::SessionManager#add_cached_session 
  0.03      0.000     0.000     0.000     0.000       14   HTTPClient#no_proxy? 
  0.03      0.001     0.000     0.000     0.000       14   Queue#pop 
  0.03      0.135     0.000     0.000     0.135        8   UWDC::Display#files 
  0.03      0.004     0.000     0.000     0.004       14   HTTPClient::SessionManager#get_cached_session 
  0.03      0.000     0.000     0.000     0.000       14   Array#assoc 
  0.03      0.001     0.000     0.000     0.001       14   UWDC::XML#http_client 
  0.03      0.009     0.000     0.000     0.009        8   UWDC::FileSec#nodes 
  0.03      0.000     0.000     0.000     0.000       13   HTTPClient::Site#eql? 
  0.03      0.001     0.000     0.000     0.001       14   Comparable#> 
  0.03      0.000     0.000     0.000     0.000       10   Nokogiri::XML::Document#initialize 
  0.03      0.001     0.000     0.000     0.001       14   HTTPClient::ProxyAuth#filter_request 
  0.03      0.001     0.000     0.000     0.001       14   HTTPClient::WWWAuth#filter_request 
  0.03      0.000     0.000     0.000     0.000       34   Array#first 
  0.03      0.000     0.000     0.000     0.000       14   HTTPClient::Util#argument_to_hash 
